"Дата","Price","Откр.","Макс.","Мин.","Объём","Per"
"31 дек. 2021 г.","177,57","178,09","179,23","177,26","64,06M","-0,35%"
"30 дек. 2021 г.","178,20","179,47","180,57","178,09","59,77M","-0,35%"
"29 дек. 2021 г.","179,38","179,33","180,63","178,14","62,35M","-0,35%"
"28 дек. 2021 г.","179,29","180,16","181,33","178,53","79,14M","-0,35%"
"27 дек. 2021 г.","180,33","177,09","180,42","177,07","74,92M","2,30%"
"23 дек. 2021 г.","176,28","175,85","176,85","175,27","68,36M","0,36%"
"22 дек. 2021 г.","175,64","173,04","175,86","172,15","92,14M","1,53%"
"21 дек. 2021 г.","172,99","171,56","173,20","169,12","91,19M","1,91%"
"20 дек. 2021 г.","169,75","168,28","170,58","167,46","107,50M","-0,81%"
"17 дек. 2021 г.","171,14","169,93","173,47","169,69","195,92M","-0,65%"
"16 дек. 2021 г.","172,26","179,28","181,14","170,75","150,19M","-3,93%"
"15 дек. 2021 г.","179,30","175,11","179,50","172,31","131,06M","2,85%"
"14 дек. 2021 г.","174,33","175,25","177,74","172,21","139,38M","-0,80%"
"13 дек. 2021 г.","175,74","181,12","182,13","175,53","153,24M","-2,07%"
"10 дек. 2021 г.","179,45","175,21","179,63","174,69","115,40M","2,80%"
"09 дек. 2021 г.","174,56","174,91","176,75","173,92","108,92M","-0,30%"
"08 дек. 2021 г.","175,08","172,12","175,96","170,70","117,00M","2,28%"
"07 дек. 2021 г.","171,18","169,08","171,58","168,34","120,41M","3,54%"
"06 дек. 2021 г.","165,32","164,29","167,88","164,28","107,50M","2,15%"
"03 дек. 2021 г.","161,84","164,02","164,96","159,72","118,02M","-1,17%"
"02 дек. 2021 г.","163,76","158,74","164,20","157,80","136,74M","-0,61%"
"01 дек. 2021 г.","164,77","167,48","170,30","164,53","152,42M","-0,32%"
"30 нояб. 2021 г.","165,30","159,99","165,52","159,92","174,05M","3,16%"
"29 нояб. 2021 г.","160,24","159,37","161,19","158,79","88,75M","2,19%"
"26 нояб. 2021 г.","156,81","159,56","160,45","156,36","76,96M","-3,17%"
